year,zone,weapon,propertyType,dateOpened,dateClosed,sex,Link,Notes
2026,A,Archery,Both,10/15/2025,2/10/2026,Either,https://www.eregulations.com/assets/docs/resources/AL/25ALAB_LR_2025-07-17-211124_buca.pdf,
2026,A,Youth-Gun,Both,11/14/2025,11/17/2025,Either,,
2026,A,Muzzleloader,Both,11/17/2025,11/21/2025,Either,,
2026,A,Gun,Private,11/22/2025,2/10/2026,Either,,
2026,A,Gun,Public,11/22/2025,12/12/2025,Antlered,,
2026,A,Gun,Public,12/13/2025,1/4/2026,Either,,
2026,A,Gun,Public,1/5/2026,2/10/2026,Antlered,,
2026,A,Gun-Dog,Private,11/22/2025,1/15/2026,Either,,
2026,A,Gun-Dog,Public,11/22/2025,12/12/2025,Antlered,,
2026,A,Gun-Dog,Public,12/13/2025,1/4/2026,Either,,
2026,A,Gun-Dog,Public,1/5/2025,1/15/2026,Antlered,,
2026,B,Archery,Both,10/15/2025,10/24/2025,Antlered,,
2026,B,Archery,Both,10/25/2025,2/10/2026,Either,,
2026,B,Youth-Gun,Both,11/14/2025,11/12/2025,Either,,
2026,B,Muzzleloader,Both,11/14/2025,11/17/2025,Either,,
2026,B,Gun,Private,11/22/2025,2/10/2026,Either,,
2026,B,Gun,Public,11/22/2025,12/12/2025,Antlered,,
2026,B,Gun,Public,12/13/2025,1/4/2026,Either,,
2026,B,Gun,Public,1/5/2026,2/10/2026,Antlered,,
2026,B,Gun-Dog,Private,11/22/2025,12/12/2025,Antlered,,
2026,B,Gun-Dog,Public,11/22/2025,12/12/2025,Antlered,,
2026,B,Gun-Dog,Public,12/13/2025,1/4/2026,Either,,
2026,B,Gun-Dog,Public,1/5/2026,1/15/2026,Antlered,,
2026,C,Archery,Both,10/15/2025,2/10/2026,Either,,
2026,C,Youth-Gun,Both,11/14/2025,11/17/2025,Either,,
2026,C,Muzzleloader,Both,11/17/2025,11/21/2025,Either,,
2026,C,Gun,Private,11/22/2025,11/30/2025,Either,,
2026,C,Gun,Private,12/1/2025,12/12/2025,Antlered,,
2026,C,Gun,Private,12/13/2025,1/1/2026,Either,,
2026,C,Gun,Public,11/22/2025,12/12/2025,Antlered,,
2026,C,Gun,Public,12/13/2025,1/1/2026,Either,,
2026,C,Gun,Public,1/2/2026,2/10/2026,Antlered,,
2026,C,Gun-Dog,Private,11/22/2025,11/30/2025,Either,,
2026,C,Gun-Dog,Private,12/1/2025,12/12/2025,Antlered,,
2026,C,Gun-Dog,Private,12/13/2025,1/1/2026,Antlered,,
2026,C,Gun-Dog,Public,11/22/2025,12/12/2025,Antlered,,
2026,C,Gun-Dog,Public,12/13/2025,1/1/2026,Either,,
2026,C,Gun-Dog,Public,1/2/2026,1/15/2026,Antlered,,
2026,D,Archery,Both,10/1/2025,1/15/2026,Either,,
2026,D,Youth-Gun,Both,1/16/2026,1/27/2026,Antlered,,
2026,D,Muzzleloader,Both,11/3/2025,11/7/2025,Either,,
2026,D,Gun,Private,11/8/2025,11/21/2025,Antlered,,
2026,D,Gun,Private,11/22/2025,11/30/2025,Either,,
2026,D,Gun,Private,12/1/2025,12/12/2025,Antlered,,
2026,D,Gun,Private,12/13/2025,1/1/2026,Either,,
2026,D,Gun,Private,1/2/2026,1/27/2026,Antlered,,
2026,D,Gun,Public,11/8/2025,12/12/2025,Antlered,,
2026,D,Gun,Public,12/13/2025,1/1/2026,Either,,
2026,D,Gun,Public,1/2/2026,1/27/2026,Antlered,,
2026,D,Gun-Dog,Private,11/8/2025,11/21/2025,Antlered,,
2026,D,Gun-Dog,Private,11/22/2025,11/30/2025,Either,,
2026,D,Gun-Dog,Private,12/1/2025,12/12/2025,Antlered,,
2026,D,Gun-Dog,Private,12/13/2025,1/1/2026,Either,,
2026,D,Gun-Dog,Public,11/8/2025,12/12/2025,Antlered,,
2026,D,Gun-Dog,Public,12/13/2025,1/1/2026,Either,,
2026,E,Archery,Both,10/1/2025,1/15/2026,Either,,
2026,E,Archery,Both,1/16/2026,1/27/2026,Antlered,,
2026,E,Youth-Gun,Both,10/31/2025,11/3/2025,Either,,
2026,E,Muzzleloader,Both,11/3/2025,11/7/2025,Either,,
2026,E,Gun,Private,11/8/2025,1/15/2026,Either,,
2026,E,Gun,Private,1/16/2026,1/27/2026,Antlered,,
2026,E,Gun,Public,11/8/2025,12/12/2025,Antlered,,
2026,E,Gun,Public,12/13/2025,1/1/2026,Either,,
2026,E,Gun,Public,1/2/2026,1/27/2026,Antlered,,
2026,E,Gun-Dog,Private,11/8/2025,1/1/2026,Either,,
2026,E,Gun-Dog,Public,11/8/2025,12/12/2025,Antlered,,
2026,E,Gun-Dog,Public,12/13/2025,1/1/2026,Either,,
2026,CMZ,Archery,Both,10/15/2025,2/10/2026,Either,,
2026,CMZ,Youth-Gun,Both,11/14/2025,11/17/2025,Either,,
2026,CMZ,Muzzleloader,Both,11/17/2025,11/17/2025,Either,,
2026,CMZ,Gun,Private,11/22/2025,2/20/2026,Either,,
2026,CMZ,Gun,Public,11/22/2025,12/12/2025,Antlered,,
2026,CMZ,Gun,Public,12/13/2025,2/10/2026,Either,,
2026,CMZ,Gun-Dog,Private,11/22/2025,1/15/2026,Either,,
