Year,County,HarvestBuck,HarvestDoe,HarvestFawn,CountyTotalHarvest,CountyDays
2024,Autauga,2208,2840,140,5188,85128
2024,Baldwin,4744,5588,167,10499,238467
2024,Barbour,2936,4025,83,7044,105424
2024,Bibb,2957,3073,306,6336,83850
2024,Blount,1425,616,0,2041,82734
2024,Bullock,1896,4253,0,6149,104354
2024,Butler,2392,1522,341,4255,52130
2024,Calhoun,1200,1423,112,2735,74889
2024,Chambers,1892,1479,417,3788,72881
2024,Cherokee,1286,2348,196,3830,55376
2024,Chilton,2432,4375,297,7104,109757
2024,Choctaw,2794,2844,0,5638,66052
2024,Clarke,2835,2253,83,5171,101876
2024,Clay,2532,1290,0,3822,87654
2024,Cleburne,780,1904,86,2770,81493
2024,Coffee,2242,1621,112,3975,78044
2024,Colbert,1146,1624,0,2770,56905
2024,Conecuh,1525,2222,56,3803,56905
2024,Coosa,3130,2680,167,5977,94201
2024,Covington,2456,4379,250,7085,123591
2024,Crenshaw,1346,2025,0,3371,39395
2024,Cullman,2291,865,0,3156,78773
2024,Dale,1371,901,0,2272,57984
2024,Dallas,3334,3085,56,6475,89916
2024,DeKalb,1929,1981,56,3966,58500
2024,Elmore,2825,3450,83,6358,108932
2024,Escambia,3326,1813,350,5489,57348
2024,Etowah,867,504,0,1371,34035
2024,Fayette,1956,1675,0,3631,79930
2024,Franklin,950,1120,56,2126,37522
2024,Geneva,726,1090,0,1816,29681
2024,Greene,530,1057,0,1587,35301
2024,Hale,2347,1214,167,3728,58434
2024,Henry,1682,3055,169,4906,72731
2024,Houston,866,1254,0,2120,38594
2024,Jackson,2772,1229,0,4001,135875
2024,Jefferson,2930,2791,924,6645,160889
2024,Lamar,1567,1454,56,3077,71180
2024,Lauderdale,2602,1706,0,4308,69390
2024,Lawrence,2013,867,56,2936,76794
2024,Lee,2024,1494,350,3868,62103
2024,Limestone,1985,1701,56,3742,42104
2024,Lowndes,2348,1726,86,4160,55066
2024,Macon,1445,2822,167,4434,51139
2024,Madison,2504,2474,83,5061,84125
2024,Marengo,3496,4375,0,7871,95802
2024,Marion,2118,3124,0,5242,84125
2024,Marshall,814,112,0,926,44295
2024,Mobile,1560,2139,167,3866,89108
2024,Monroe,1470,2002,56,3528,88621
2024,Montgomery,2696,3155,0,5851,61664
2024,Morgan,952,1217,0,2169,949
2024,Perry,2726,2626,601,5953,100808
2024,Pickens,2812,3979,255,7046,83467
2024,Pike,2114,2371,0,4485,69988
2024,Randolph,813,1524,0,2337,45913
2024,Russell,2315,3697,83,6095,91327
2024,St. Clair,2397,2615,0,5012,103202
2024,Shelby,4017,4412,252,8681,153325
2024,Sumter,2151,1853,0,4004,61769
2024,Talladega,2116,2564,167,4847,67188
2024,Tallapoosa,1737,3074,397,5208,72172
2024,Tuscaloosa,4256,3178,0,7434,122008
