Greographic,,,Model Assumptions,,,Harvest Assumptions,,,Preharvest Populations,,,,,Natural Mortality,,,,,Harvest,,,,Model Outcomes,,,,,,,,,,,,,,
County,Lauderdale,,N_Preharvest,30000,,antlered_harvest,500,,,total,male,female,,,finite_rate,instantaeous_rate,6mo_prob,,,N_harvest,Percent_harv,,,N_Preharvest,Lambda,,,,,,,,,,,,
Year,2025,,,,,antlerless_harvest,2189,2689,N_preharvest_ad,15300,6579,8721,,admale_nhm,0.2,-0.223143551,0.105572809,,admale_harv,480,0.07,,2026,31933,NA,,,,,,,,,,,,
,,,Doe:Buck Ratio,,,,,,N_preharvest_y1,1200,516,684,,adfemale_nhm,0.229,-0.260066905,0.121933943,,adfemale_harv,1471,0.17,,2027,32452,1.02,,,,,,,,,,,,
County Size,721,mile2,130,100,,YearlingHarvRate_M,0,,N_preharvest_y,6000,2580,3420,,yearmale_nhm,0.15,-0.162518929,0.078045554,,y1male_harv,20,0.04,,2028,33093,1.02,,,,,,,,,,,,
Pop Density,44.3,,Demical_Doe,0.57,,YearlingHarvRate_F,0.18,,N_preharvest_F,7500,3225,4275,,yearfemale_nhm,0.12,-0.127833372,0.061916848,,y1female_harv,61,0.09,,2029,33566,1.01,,,,,,,,,,,,
,,,Decimal_Buck,0.43,,FawnHarvRate,0.12,,,,,,,fawnmale_nhm,0.47,-0.634878272,0.271989011,,yearmale_harv,0,0,,2030,33917,1.01,,,,,,,,,,,,
,,,,,,,,,,,,,,fawnfemale_nhm,0.45,-0.597837001,0.258380151,,yearfemale_harv,394,0.12,,2031,34174,1.01,,,,,,,,,,,,
,,,Adult prop,0.51,,,,,,,,,,6mofawns_nhm,0.5,-0.693147181,0.292893219,,fawnmale_harv,131,0.04,,2032,34363,1.01,,,,,,,,,,,,
,,,Y1 prop,0.04,,,,,,,,,,,,,,,fawnfemale_harv,131,0.03,,2033,34504,1,,,,,,,,,,,,
,,,Yearling prop,0.2,,,,,,,,,,,,,,,,,,,2034,34606,1,,,,,,,,,,,,
,,,Fawn Prop,0.25,1,,,,,,,,,,,,,,,,,,2035,34679,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,adfemale_preg,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,yfemale_preg,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postharvest (January),,,,,,,,,Midseason (June),,,,,,,,,Preharvest (December),,,,,,,,,,N_Non-harvest Mortality,,,,,,,,
Year,N_admale_posth,N_adfemale_posth,N_y1male_posth,N_y1female_posth,N_ymale_posth,N_yfemale_posth,Nfawnmale_posth,N_fawnfemale_posth,N_postharvest,N_admale_mid,N_adfemale_mid,N_y1male_mid,N_y1female_mid,N_ymale_mid,N_yfemale_mid,birth_malefawn,birth_femalefawn,N_midseason,N_admale_preh,N_adfemale_preh,N_y1male_preh,N_y1female_preh,N_ymale_preh,N_yfemale_preh,N_fawnmale_preh,N_fawnfemale_preh,N_preharvest,,N_admale_preh,N_adfemale_preh,N_y1male_preh,N_y1female_preh,N_ymale_preh,N_yfemale_preh,N_fawnmale_preh,N_fawnfemale_preh,Total_nhm
2026,6118,7238,495,622,2580,3010,3096,4147,27306,5915,6902,2308,2643,2254,3075,7944,7944,38985,5291,6060,2064,2321,2078,2885,5617,5617,31933,,1401,1864,462,605,338,369,3688,3504,12231
2027,4921,5030,1981,2112,1829,2770,5392,5448,29483,6173,6271,1636,2432,3925,4040,7366,7366,39209,5521,5506,1463,2135,3619,3790,5209,5209,32452,,1389,1421,327,557,589,485,3420,3249,11437
2028,5135,4570,1404,1943,3185,3638,5001,5053,29929,5849,5719,2849,3194,3641,3747,7505,7505,40009,5232,5022,2548,2805,3357,3515,5307,5307,33093,,1439,1308,570,731,546,450,3485,3310,11839
2029,4866,4168,2446,2553,2954,3374,5095,5148,30604,6540,5901,2642,2963,3709,3818,7473,7473,40519,5850,5181,2363,2602,3420,3582,5284,5284,33566,,1558,2554,528,679,556,458,3470,3296,13099
2030,5441,4300,2268,2368,3010,3439,5073,5125,31024,6895,5855,2692,3020,3693,3801,7480,7480,40916,6167,5141,2408,2652,3405,3566,5289,5289,33917,,1633,2463,538,692,554,456,3473,3299,13108
2031,5735,4267,2312,2413,2996,3423,5077,5130,31353,7197,5865,2680,3006,3696,3805,7477,7477,41203,6437,5150,2397,2639,3408,3569,5287,5287,34174,,1692,2668,536,688,554,457,3472,3298,13365
2032,5986,4275,2301,2401,2999,3426,5076,5128,31592,7412,5862,2682,3008,3695,3803,7476,7476,41414,6629,5147,2399,2641,3407,3568,5286,5286,34363,,1736,950,536,689,554,456,3471,3297,11689
2033,6165,4272,2303,2403,2998,3425,5075,5127,31768,7574,5861,2681,3007,3695,3802,7475,7475,41570,6774,5146,2398,2640,3407,3567,5286,5286,34504,,1768,949,536,689,554,456,3471,3297,11720
2034,6300,4271,2302,2402,2998,3424,5075,5127,31899,7694,5859,2681,3006,3695,3802,7472,7472,41681,6882,5145,2398,2639,3407,3567,5284,5284,34606,,1792,949,536,688,554,456,3469,3296,11740
