Year,N_admale_preh,N_adfemale_preh,N_y1male_preh,N_y1female_preh,N_ymale_preh,N_yfemale_preh,N_fawnmale_preh,N_fawnfemale_preh,N_preharvest,N_admale_mid,N_adfemale_mid,N_y1male_mid,N_y1female_mid,N_ymale_mid,N_yfemale_mid,birth_malefawn,birth_femalefawn,N_midseason,N_admale_posth,N_adfemale_posth,N_y1male_posth,N_y1female_posth,N_ymale_posth,N_yfemale_posth,Nfawnmale_posth,N_fawnfemale_posth,N_postharvest,Model_Harvest,Model_harvest_adM,Model_harvest_adF,Model_harvest_y1M,Model_harvest_y1F,Model_harvest_yM,Model_harvest_yF,Model_harvest_fawnM,Model_harvest_fawnF,N_CFawn,N_Cyear,N_CY1,N_Cadult,Lambda,County,StartYear
2026,7434,12775,3582,4890,4036,5993,13133,13133,64976,8761,14751,4221,5647,4790,6353,16954,16954,78431,9408,15684,917,1349,4975,6521,6708,8985,54547,7428,2528,2172,645,440,484,240,525,394,26266,10029,8472,20209,NA,Jackson,2025
2027,5647,11290,2557,4315,7587,8498,11863,11863,63620,6655,13036,3014,4982,9004,9008,15315,15315,76329,4906,10603,2937,4450,3552,5753,12608,12739,57548,6768,1920,1919,460,388,910,340,475,356,23726,16085,6872,16937,0.98,Jackson,2025
2028,4193,9973,4808,6118,6853,7676,12145,12145,63911,4942,11516,5666,7065,8133,8137,15679,15679,76817,3727,9371,2097,3927,6677,8158,11388,11507,56852,6516,1426,1695,865,551,822,307,486,364,24290,14529,10926,14166,1,Jackson,2025
2029,4832,10384,4342,5527,7016,7859,12030,12030,64020,5694,11990,5117,6382,8326,8330,15531,15531,76901,2767,8278,3943,5567,6031,7369,11659,11781,57395,6685,1643,1765,782,497,842,314,481,361,24060,14875,9869,15216,1,Jackson,2025
2030,4860,10236,4445,5659,6950,7784,12012,12012,63958,5727,11820,5239,6534,8248,8251,15508,15508,76835,3189,8619,3560,5030,6174,7545,11549,11669,57335,6686,1652,1740,800,509,834,311,480,360,24024,14734,10104,15096,1,Jackson,2025
2031,4934,10235,4404,5605,6939,7773,11972,11972,63834,5815,11818,5190,6472,8235,8239,15456,15456,76681,3208,8496,3645,5150,6116,7473,11532,11652,57272,6697,1678,1740,793,504,833,311,479,359,23944,14712,10009,15169,1,Jackson,2025
2032,4944,10197,4396,5596,6916,7747,11937,11937,63670,5827,11774,5181,6462,8208,8212,15410,15410,76484,3256,8495,3611,5101,6106,7462,11493,11613,57137,6684,1681,1733,791,504,830,310,477,358,23874,14663,9992,15141,1,Jackson,2025
2033,4945,10167,4382,5578,6896,7725,11901,11901,63495,5828,11740,5164,6441,8184,8188,15364,15364,76273,3263,8464,3605,5092,6086,7437,11460,11579,56986,6670,1681,1728,789,502,828,309,476,357,23802,14621,9960,15112,1,Jackson,2025
2034,4937,10136,4369,5562,6875,7701,11864,11864,63308,5818,11704,5149,6422,8159,8163,15317,15317,76049,3264,8439,3593,5076,6068,7416,11425,11544,56825,6653,1679,1723,786,501,825,308,475,356,23728,14576,9931,15073,1,Jackson,2025
2035,4926,10106,4356,5545,6853,7676,11829,11829,63120,5805,11669,5134,6403,8133,8137,15271,15271,75823,3258,8413,3583,5061,6050,7393,11389,11508,56655,na,na,na,na,na,na,na,na,na,23658,14529,9901,15032,1,Jackson,2025
2026,10406,14172,961,1289,5087,6150,6569,8800,53434,10167,13576,4550,5400,4872,6406,15821,15821,76613,9094,11921,4070,4742,4358,6009,13237,13237,66668,9179,2455,2980,570,616,741,361,794,662,26474,10367,8812,21015,NA,Baldwin,2025
2027,6639,8941,3500,4126,3617,5648,12443,12575,57489,9069,11474,3235,4959,9228,9155,14062,14062,75244,8112,10075,2893,4354,8254,8588,11765,11765,65806,8892,2190,2519,405,566,1403,515,706,588,23530,16842,7247,18187,0.99,Baldwin,2025
2028,5922,7556,2488,3788,6851,8073,11059,11177,56914,7522,9961,6128,7089,8202,8137,14454,14454,75947,6728,8746,5481,6225,7336,7633,12093,12093,66335,8615,1817,2186,767,809,1247,458,726,605,24186,14969,11706,15474,1.01,Baldwin,2025
2029,4911,6560,4714,5416,6089,7175,11367,11488,57720,8609,10516,5446,6300,8430,8363,14289,14289,76242,7700,9234,4871,5532,7540,7845,11955,11955,66632,8856,2079,2308,682,719,1282,471,717,598,23910,15385,10403,16934,1,Baldwin,2025
2030,5621,6926,4189,4813,6258,7374,11238,11357,57776,8774,10308,5597,6475,8334,8268,14253,14253,76262,7848,9051,5006,5685,7454,7756,11925,11925,66650,8865,2119,2263,701,739,1267,465,715,596,23850,15210,10691,16899,1,Baldwin,2025
2031,5729,6788,4305,4946,6187,7291,11210,11329,57785,8975,10303,5534,6402,8314,8248,14189,14189,76154,8027,9047,4950,5621,7436,7737,11871,11871,66560,8887,2167,2262,693,731,1264,464,712,594,23742,15173,10571,17074,1,Baldwin,2025
