Year,County,HarvestDoe,HarvestedBuck,CountyTotalHarvest
2017,Appling,1054,816,1870
2017,Atkinson,701,725,1426
2017,Bacon,510,567,1077
2017,Baker,1058,537,1595
2017,Baldwin,791,668,1459
2017,Banks,565,729,1294
2017,Barrow,348,720,1068
2017,Bartow,984,404,1388
2017,Ben Hill,597,436,1033
2017,Berrien,1139,1030,2169
2017,Bibb,393,324,717
2017,Bleckley,439,317,756
2017,Brantley,309,250,559
2017,Brooks,909,850,1759
2017,Bryan,536,496,1032
2017,Bulloch,1353,1143,2496
2017,Burke,3072,1880,4952
2017,Butts,387,410,797
2017,Calhoun,1108,648,1756
2017,Camden,322,301,623
2017,Candler,790,463,1253
2017,Carroll,1044,1018,2062
2017,Catoosa,242,344,586
2017,Charlton,207,207,414
2017,Chatham,323,191,514
2017,Chattahoochee,865,492,1357
2017,Chattooga,730,776,1506
2017,Cherokee,994,896,1890
2017,Clarke,638,333,971
2017,Clay,937,582,1519
2017,Clayton,145,77,222
2017,Clinch,508,466,974
2017,Cobb,250,232,482
2017,Coffee,1592,1591,3183
2017,Colquitt,854,796,1650
2017,Columbia,1123,745,1868
2017,Cook,552,468,1020
2017,Coweta,1226,1341,2567
2017,Crawford,905,834,1739
2017,Crisp,660,469,1129
2017,Dade,330,379,709
2017,Dawson,284,404,688
2017,Decatur,1261,940,2201
2017,DeKalb,105,90,195
2017,Dodge,1452,900,2352
2017,Dooly,901,465,1366
2017,Dougherty,690,573,1263
2017,Douglas,616,475,1091
2017,Early,1050,811,1861
2017,Echols,243,242,485
2017,Effingham,961,744,1705
2017,Elbert,1474,1194,2668
2017,Emanuel,1916,1328,3244
2017,Evans,599,414,1013
2017,Fannin,417,427,844
2017,Fayette,501,428,929
2017,Floyd,1309,1488,2797
2017,Forsyth,680,521,1201
2017,Franklin,582,820,1402
2017,Fulton,963,691,1654
2017,Gilmer,490,404,894
2017,Glascock,439,338,777
2017,Glynn,276,238,514
2017,Gordon,1041,1177,2218
2017,Grady,715,492,1207
2017,Greene,1777,1259,3036
2017,Gwinnett,576,521,1097
2017,Habersham,526,760,1286
2017,Hall,1348,1400,2748
2017,Hancock,3287,1437,4724
2017,Haralson,622,683,1305
2017,Harris,1938,1077,3015
2017,Hart,521,760,1281
2017,Heard,872,831,1703
2017,Henry,864,697,1561
2017,Houston,839,778,1617
2017,Irwin,1078,711,1789
2017,Jackson,1363,1331,2694
2017,Jasper,1488,1156,2644
2017,Jeff Davis,1221,821,2042
2017,Jefferson,1548,1148,2696
2017,Jenkins,951,573,1524
2017,Johnson,746,535,1281
2017,Jones,1326,1056,2382
2017,Lamar,544,557,1101
2017,Lanier,397,308,705
2017,Laurens,2118,1321,3439
2017,Lee,1994,1131,3125
2017,Liberty,645,475,1120
2017,Lincoln,1027,636,1663
2017,Long,357,297,654
2017,Lowndes,1035,922,1957
2017,Lumpkin,466,656,1122
2017,Macon,1235,624,1859
2017,Madison,1254,1213,2467
2017,Marion,1486,1020,2506
2017,McDuffie,746,690,1436
2017,McIntosh,213,214,427
2017,Meriwether,2655,1371,4026
2017,Miller,390,308,698
2017,Mitchell,634,542,1176
2017,Monroe,1047,940,1987
2017,Montgomery,653,327,980
2017,Morgan,1271,938,2209
2017,Murray,431,521,952
2017,Muscogee,696,473,1169
2017,Newton,832,753,1585
2017,Oconee,484,444,928
2017,Oglethorpe,1863,1545,3408
2017,Paulding,616,612,1228
2017,Peach,494,426,920
2017,Pickens,303,384,687
2017,Pierce,272,278,550
2017,Pike,777,825,1602
2017,Polk,1058,933,1991
2017,Pulaski,451,364,815
2017,Putnam,1470,1007,2477
2017,Quitman,519,409,928
2017,Rabun,83,172,255
2017,Randolph,1729,989,2718
2017,Richmond,549,447,996
2017,Rockdale,339,279,618
2017,Schley,896,646,1542
2017,Screven,1387,1318,2705
2017,Seminole,207,165,372
2017,Spalding,457,483,940
2017,Stephens,228,317,545
2017,Stewart,2105,1317,3422
2017,Sumter,1957,1437,3394
2017,Talbot,1942,1063,3005
2017,Taliaferro,697,589,1286
2017,Tattnall,851,779,1630
2017,Taylor,1584,1085,2669
2017,Telfair,857,553,1410
2017,Terrell,1161,951,2112
2017,Thomas,1010,731,1741
2017,Tift,435,338,773
2017,Toombs,1097,995,2092
2017,Towns,103,154,257
2017,Treutlen,487,375,862
2017,Troup,1449,763,2212
2017,Turner,666,490,1156
2017,Twiggs,1395,807,2202
2017,Union,559,471,1030
2017,Upson,1212,1133,2345
2017,Walker,853,862,1715
2017,Walton,1025,868,1893
2017,Ware,807,777,1584
2017,Warren,1342,872,2214
2017,Washington,2079,1607,3686
2017,Wayne,541,501,1042
2017,Webster,932,656,1588
2017,Wheeler,535,400,935
2017,White,387,559,946
2017,Whitfield,380,688,1068
2017,Wilcox,739,554,1293
2017,Wilkes,2168,1610,3778
2017,Wilkinson,1549,1120,2669
2017,Worth,1562,1219,2781
2018,Appling,1044,1138,2182
2018,Atkinson,629,940,1569
2018,Bacon,426,671,1097
2018,Baker,1292,744,2036
2018,Baldwin,641,745,1386
2018,Banks,442,969,1411
2018,Barrow,347,516,863
2018,Bartow,1226,1265,2491
2018,Ben Hill,924,643,1567
2018,Berrien,1279,1299,2578
2018,Bibb,343,360,703
2018,Bleckley,519,474,993
2018,Brantley,301,327,628
2018,Brooks,1098,1495,2593
2018,Bryan,755,789,1544
2018,Bulloch,1701,1520,3221
2018,Burke,4179,2990,7169
2018,Butts,382,480,862
2018,Calhoun,1161,830,1991
2018,Camden,353,435,788
2018,Candler,1039,593,1632
2018,Carroll,959,1260,2219
2018,Catoosa,217,308,525
2018,Charlton,273,308,581
2018,Chatham,454,359,813
2018,Chattahoochee,739,670,1409
2018,Chattooga,695,802,1497
2018,Cherokee,1117,1196,2313
2018,Clarke,483,363,846
2018,Clay,1061,724,1785
2018,Clayton,117,101,218
2018,Clinch,506,595,1101
2018,Cobb,218,244,462
2018,Coffee,1596,2035,3631
2018,Colquitt,1007,1012,2019
2018,Columbia,1058,949,2007
2018,Cook,572,721,1293
